	Lexeme		Token	row_no in symbol_table

	=		ERROR	-
	#100d001		ERROR	-
	##100		ERROR	-
	#100Program		ERROR	-
	#100#20.2#100		ERROR	-
	#0.0#0#0.0		ERROR	-
	V2temp#2.0		ERROR	-
	#100		Int	0
	:=		:=	-
	#2		Int	0
	;		;	-
	#100		Int	0
	+		+	-
	#2		Int	0
	#100		Int	0
	-		-	-
	#2		Int	0
	#100		Int	0
	*		*	-
	#2		Int	0
	#100		Int	0
	/		/	-
	#2		Int	0
	#100		Int	0
	.GT.		.GT.	-
	#2		Int	0
	#100		Int	0
	,		,	-
	#2		Int	0
	#100		Int	0
	)		)	-
	V2temp		ID	0
	.GT.		.GT.	-
	#2.0		Real	1
	V2temp		ID	0
	:=		:=	-
	#2.0		Real	1
	V2temp		ID	0
	(		(	-
	#100#A2variable		ERROR	-
	:=		:=	-
	#100		Int	1
	)		)	-
	#100#A2variable		ERROR	-
	.GT.		.GT.	-
	#100		Int	1
	)		)	-
